Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-27,2023-12-27,1574,GOOGLE *Domains,Merchandise,6.04,
2023-12-27,2023-12-27,1574,GOOGLE *Domains,Merchandise,12.00,
2023-12-22,2023-12-23,1574,MCDONALDS-DXB AIRPORT,Merchandise,9.80,
2023-12-22,2023-12-23,1574,MC DONALDS,Dining,6.63,
2023-12-21,2023-12-22,1574,JFK SHAKESHACK B236352,Dining,11.21,
2023-12-21,2023-12-22,1574,DD DOORDASH MASALAKIT,Dining,18.41,
2023-12-19,2023-12-19,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,75.65
2023-12-17,2023-12-18,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,36.07
2023-12-17,2023-12-18,1574,DD DOORDASH HANDYNAST,Dining,32.69,
2023-12-17,2023-12-18,1574,Amazon.com*VS1OI7G43,Merchandise,11.23,
2023-12-15,2023-12-16,1574,AMZN Mktp US*R407P8XI3,Merchandise,31.73,
2023-12-14,2023-12-15,1574,WAWA 179,Merchandise,6.04,
2023-12-13,2023-12-14,1574,MAKI,Dining,17.38,
2023-12-12,2023-12-13,1574,SQ *ROTHMAN CABIN AT D,Dining,12.65,
2023-12-12,2023-12-12,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,80.30
2023-12-10,2023-12-11,1574,WAWA 179,Merchandise,10.47,
2023-12-10,2023-12-11,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,21.15
2023-12-10,2023-12-11,1574,DD *DOORDASHDASHPASS,Dining,4.99,
2023-12-09,2023-12-11,1574,ACME #2397,Merchandise,11.87,
2023-12-09,2023-12-11,1574,AMZN Mktp US*A211J55N3,Merchandise,52.97,
2023-12-09,2023-12-09,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,21.30
2023-12-08,2023-12-09,1574,CHEGG  ORDER,Merchandise,21.15,
2023-12-08,2023-12-08,1574,CHIPOTLE ONLINE,Dining,6.20,
2023-12-07,2023-12-08,1574,DD DOORDASH HANGRYJOE,Dining,15.10,
2023-12-06,2023-12-06,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,110.69
2023-12-04,2023-12-05,1574,PAPA JOHN'S 3201,Dining,5.10,
2023-12-04,2023-12-05,1574,FIVE GUYS 2025 QSR,Dining,7.12,
2023-12-03,2023-12-04,1574,UBER   TRIP,Other Travel,9.97,
2023-12-02,2023-12-04,1574,TRENTON KIOSK #1246QPS,Dining,7.28,
2023-12-01,2023-12-02,1574,TROPICAL SMOOTHIE CAFE,Dining,7.55,
2023-12-01,2023-12-02,1574,Peacock AE2A3 Premium,Phone/Cable,2.11,
2023-12-01,2023-12-01,1574,Ticketleap Simply Chao,Entertainment,14.00,
2023-11-27,2023-11-28,1574,SP PHOTOLOUNGE PHILA,Merchandise,36.01,
2023-11-26,2023-11-27,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,45.83
2023-11-26,2023-11-27,1574,SHAKE SHACK - 1173A,Dining,15.35,
2023-11-25,2023-11-27,1574,KFTEAUSA_204,Dining,6.20,
2023-11-24,2023-11-25,1574,Rally House 093,Merchandise,24.00,
2023-11-21,2023-11-22,1574,UBER   TRIP,Other Travel,21.83,
2023-11-21,2023-11-21,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,174.34
2023-11-19,2023-11-20,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,144.59
2023-11-18,2023-11-20,1574,WINE AND SPIRITS 5156,Merchandise,122.53,
2023-11-18,2023-11-20,1574,DD DOORDASH DONBARRIG,Dining,51.81,
2023-11-17,2023-11-18,1574,TROPICAL SMOOTHIE CAFE,Dining,2.15,
2023-11-16,2023-11-18,1574,ACME #2397,Merchandise,11.54,
2023-11-16,2023-11-18,1574,COPABANANA UNIVERSITY,Dining,130.90,
2023-11-17,2023-11-17,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,62.57
2023-11-15,2023-11-16,1574,TARGET.COM  *,Merchandise,26.34,
2023-11-15,2023-11-16,1574,UBER   TRIP,Other Travel,19.08,
2023-11-14,2023-11-14,1574,Ticketleap Class of 20,Entertainment,35.00,
2023-11-14,2023-11-14,1574,EB BOLLYFIESTA BY PHI,Other Services,,17.85
2023-11-13,2023-11-13,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,35.80
2023-11-11,2023-11-11,1574,UBER   TRIP,Other Travel,8.93,
2023-11-10,2023-11-10,1574,QDOBA 2168 OLO,Dining,3.73,
2023-11-08,2023-11-09,1574,DUNKIN #350910 Q35,Dining,2.58,
2023-11-08,2023-11-09,1574,CHEGG  ORDER,Merchandise,10.57,
2023-11-07,2023-11-07,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,341.51
2023-11-06,2023-11-07,1574,DOORDASH DASHPASS,Dining,9.99,
2023-11-05,2023-11-06,1574,DOORDASH DASHPASS,Dining,,4.99
2023-11-05,2023-11-06,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,26.21
2023-11-04,2023-11-06,1574,SQ *WOODY'S BAR,Dining,80.00,
2023-11-04,2023-11-06,1574,DUNKIN #350910 Q35,Dining,3.23,
2023-11-04,2023-11-06,1574,DD DOORDASH MASALAKIT,Dining,219.71,
2023-11-04,2023-11-06,1574,UBER   TRIP,Other Travel,22.62,
2023-11-04,2023-11-06,1574,UBER   TRIP,Other Travel,15.95,
2023-11-04,2023-11-06,1574,DOORDASH DASHPASS,Dining,4.99,
2023-11-02,2023-11-03,1574,EB BOLLYFIESTA BY PHI,Other Services,17.85,
2023-11-02,2023-11-02,1574,Ticketleap SPEC Connai,Entertainment,6.25,
2023-11-01,2023-11-02,1574,Peacock CB02C Premium,Phone/Cable,2.11,
